date,Equity,Rates,Credit,Carry,Inflation,Commodities,Private Equity,Rates Vol,Fx
2010-05-06,76.49164573955315,160.48046014872094,124.42624378275343,130.2685836257994,164.28116182738933,178.19274512034258,125.79655216145548,104.64866380394724,85.13961569254013
2010-05-07,75.36884588579503,160.21460557874678,124.61913359668426,131.26443148630926,164.222756722,178.49762761013886,125.58452482008528,104.82433637665575,84.86725258504703
2010-05-10,77.74486374912391,159.25285331023426,126.24955714366268,132.2848485188715,164.43979009362673,179.87147541700796,126.93712933285221,103.19360477677493,84.64064076070237
2010-05-11,77.37850892266377,159.39422060378882,126.14197148304464,132.18388693335018,164.48896719236456,179.93213769310543,127.49612051128128,103.15514726701787,84.83508371408327
2010-05-12,77.99915711427249,159.314961882176,126.5157810338892,132.04908224937003,164.60309076829526,180.79354201368938,128.60369559345878,102.54352302742683,85.08314145240377
2010-05-13,77.73247532174969,159.38613565264103,126.34744395637944,132.2673715565781,164.56828132548324,180.51196431197656,128.12080191346107,102.4008806276006,85.34621133050734
2010-05-14,76.46532317046815,160.37233504036053,125.64706064345768,131.81914135406504,164.40007462196198,177.78373299689983,127.83875122783192,103.28340555929859,85.96885769960573
2010-05-17,76.13131294817283,160.23419019436562,125.58238018576444,131.46516537335575,164.3075609350253,175.39215549320141,128.34737332824457,103.2842379729297,86.07108322289056
2010-05-18,75.95517472265925,160.7859428569775,124.95184588296928,131.41759634113703,164.26305624471863,175.9746006275875,127.18343944497667,103.45474958112533,86.7287579181495
2010-05-19,75.24994625371988,161.06713958031193,124.9821152127318,130.53875640701963,164.06120820049313,174.4869346796665,127.21842008192431,103.80589494727087,86.18546143076168
2010-05-20,73.84635507666638,161.89587579476134,124.14083948882276,129.5767488401091,163.7332635337321,173.56198771591863,125.6535901456821,105.2366474964149,85.60141770681977
2010-05-21,74.28849610659933,162.24721962364063,124.17301451322143,129.58208939555445,163.79418005865315,173.85822910451543,125.79922749755512,104.4262428817159,85.48275031615348
2010-05-24,73.87648471847456,162.1385147991089,124.06068477017908,130.02689841542042,163.88932197533234,174.520189826707,125.79061619735117,104.061279449294,86.04320353472197
2010-05-25,73.19386253645321,162.84309240486095,123.92300280721807,129.36525971733158,163.8134537434316,173.02833425396196,126.53094668018375,104.34939445529223,86.429229986287
2010-05-26,73.40683065090643,162.27524658828946,124.05806409010731,129.59510267031672,163.8162571884903,174.72443403687686,126.09663565295321,103.76121098355313,86.67871745220589
2010-05-27,74.8055263154865,161.3758432274956,124.91019723361632,130.54549202265235,163.91975103524018,176.74496789210002,127.45667929136373,103.38456046375052,86.00460088956547
2010-05-28,74.61502498311927,161.75515162336504,124.88404789446173,130.51897531874275,163.8462774126604,175.61883165294975,127.10745440704807,103.23212887962248,86.21477084652867
2010-05-31,74.59421252869697,161.77366871798338,124.88404789446173,130.51897531874275,163.8462774126604,175.61883165294975,127.13196872496037,103.23212887962248,86.27624913325938
2010-06-01,74.14322551021837,161.81308188451007,124.4563353459695,130.54380636417662,163.80784685331423,174.39668317824956,126.07274583261535,103.27291714754665,86.31485177841589
2010-06-02,74.58818369579488,161.57151232671873,124.82474912206888,130.8790224756573,163.83331147926398,174.38821664475105,127.46314487622863,102.99655582201964,86.42136648449588
2010-06-03,75.10912564566368,161.27594447043472,124.94925642210055,131.14513884102485,163.93750618727853,174.99143533555616,127.55926929126984,102.94088399837133,86.65798640202924
2010-06-04,73.7565618954657,162.69947303296502,124.26264420133981,130.0989232916525,163.7358333583692,172.70468573630816,126.1791860993844,102.99875339400577,87.42932444136011
2010-06-07,72.92463688359527,162.90246383199022,123.89392715202038,129.91736254156487,163.67474161813197,172.9468984214455,125.59099968127339,102.98263786610758,87.53297969224332
2010-06-08,73.10732112710194,163.13984028339027,123.91030175588773,129.9508999346537,163.60027510876057,173.4038293788127,125.26979472198666,103.16856577475129,87.54012833023526
2010-06-09,73.3258122963592,162.83847644843127,123.75409163494558,130.05252610103136,163.57457686238928,174.11335979952673,124.78305297568579,102.64657583495767,87.16268024426056
2010-06-10,74.4291717788212,161.8310080846975,124.20382499776773,130.94213828575968,163.64331967143252,174.5878348108444,125.39402962878697,102.7812936570158,86.6243878034671
2010-06-11,74.6716736395257,162.67986515711004,124.30478258668808,131.07579513010995,163.56967083353658,175.35636911449643,125.96198154944484,102.85601110454381,86.87030095039002
2010-06-14,75.14256106933973,162.06839070747424,124.65228305490564,131.40044426115787,163.60845182351505,177.18828256878925,125.86003609081267,102.78445682881399,86.08609536267363
2010-06-15,75.90012796610866,161.8229164452099,125.17460249063919,131.32542233182303,163.52423166154367,178.6083035325728,126.87734400811445,102.75362422791784,85.73295264587156
2010-06-16,76.02442812227623,162.00679523789663,125.43968129524382,131.32144315589412,163.47955175592085,178.5991387282703,127.03081971853574,102.72252525465976,85.80014984299585
2010-06-17,76.09971909148668,162.6707201767701,125.70068040243805,130.9400303403352,163.47628107001907,178.6351869585268,127.1249646389644,102.8998959511757,85.5184935061132
2010-06-18,76.20791788432417,162.28939845686978,125.89921122438608,131.08044830920088,163.4476625683783,178.315728065697,127.13647714335482,102.79987312926207,85.51420432331804
2010-06-21,76.44050209462189,162.1736601902329,125.9730535616768,131.3371438344382,163.48323127756035,178.265976270912,126.38101317216035,102.86370260649522,85.69792431971103
2010-06-22,75.76506129281597,162.9022431598449,125.40089324247774,130.95027094119905,163.4644832387304,177.76060277651735,125.8226536604165,103.29848889429422,85.81516198277893
2010-06-23,75.35335097441322,163.39409226885485,125.37588633700125,130.75997139001248,163.41004968050757,176.67976685577656,126.16531123189154,103.36747933604025,85.56424478926165
2010-06-24,74.76106710802406,163.53169071007554,125.03393947620975,130.48409896087645,163.36221589919367,177.14132385722024,125.74653802049971,103.5141173212958,85.54279887528583
2010-06-25,74.63458209534903,163.6621788749719,125.4410942612719,130.55826657590515,163.39813503900814,178.5761830755888,126.5293330664012,103.68679320493229,85.23755203302977
2010-06-28,74.77583286734492,164.24874964800352,125.26550416553951,130.3169964451856,163.32302607347745,177.57634656811197,126.0179089198158,103.74296447675928,85.47631654196073
2010-06-29,73.25221681582511,164.66801358001672,124.77131756177414,129.03651249896006,163.25556817675277,174.62877093672893,125.17487913791058,103.76800347878293,85.76798097203209
2010-06-30,72.95659812297549,164.76706163604462,124.66536933762015,128.65027552168107,163.25194706021864,175.95443805812204,124.72463778960307,103.91464146403848,85.7265188716788
2010-07-01,72.7189997627201,164.92973779038178,124.70574324695322,128.1318429639276,163.1343414644415,174.9902161650503,124.64923678424039,103.97262380419225,84.82787016596559
2010-07-02,72.74662587948693,164.54767412715765,124.64162396295066,128.16832107695933,163.10716720143904,174.32549725201125,124.13383982321054,103.65709199963447,84.61048953043338
2010-07-05,72.61447254161646,164.66836749604863,124.64162396295066,128.16832107695933,163.10716720143904,174.32549725201125,124.30393576737791,103.65709199963447,84.74333325214751
2010-07-06,73.43430512645,164.90392453528756,124.79143742179052,128.34848581863514,162.93719987718782,174.31651956688665,123.14569243378654,103.64392878841461,84.35758918321291
2010-07-07,74.3678081509763,164.6093579379536,125.42925668179225,128.76130276246377,162.90912835078433,176.05865324833115,124.47990906689512,103.52558830900882,84.17217628820013
2010-07-08,74.97180142612909,164.28157173862797,125.70094554127012,129.25601553768277,162.92534318224568,176.51429390676773,124.46760292558362,103.54703471167922,84.1707554997326
2010-07-09,75.27764284048995,164.10056937785544,125.99343128276178,129.65039220320548,162.99295838853718,177.0630433408263,124.97934345354327,103.55795054537373,84.2510300481481
2010-07-12,75.27539541097507,164.35786526341403,125.83769041475307,129.63818795028834,163.00814777611168,175.9723008749163,124.62477889123835,103.47373809895991,84.42791821235568
2010-07-13,76.08257559707648,163.83664265949838,126.28437623406101,129.91133270837764,163.07018713126823,177.22908423890374,125.36347334243432,103.53666466966945,84.02157271064188
2010-07-14,76.26963488069565,164.22741400539712,126.025925566712,129.8689279658301,163.0228244417427,177.36254632085894,124.92561132523525,103.50160558027413,83.86741716191479
2010-07-15,76.27146099672323,164.79894421060447,126.08545898516141,129.54551643366239,162.84811443951463,178.8911591818661,124.64703250823804,103.59512859072152,83.27423797672068
2010-07-16,75.20499199578778,165.27040733558036,125.67239679344729,128.81036557134968,162.58951030929074,177.6315992142319,123.68809917504832,103.66418729153591,83.21527525531816
2010-07-19,75.17812959085866,165.06095104508606,125.68112667918061,128.74580741572458,162.49113178639269,177.15300529898195,123.92156927667328,103.45665802976733,83.24795339007136
2010-07-20,75.37111673834097,165.22166926040975,125.92755218593194,129.25798823339252,162.499143066759,177.5951331530042,125.00129476160585,103.6512488180686,83.40352972726599
2010-07-21,75.13904228571238,165.47793340743195,125.8105402441388,129.04942530169805,162.47882645975008,177.9871895879295,124.20915973202632,103.70062691283962,83.86386519074595
2010-07-22,76.1383962464445,165.169037896543,126.10889027303043,129.6044631755201,162.52862457850694,180.16256599172655,124.93751822319912,103.77748722420628,83.30123295760377
2010-07-23,76.47590492264536,164.56057649445108,126.33605816241169,129.93618223706702,162.58822850443215,179.79818303981415,125.80675620784321,103.43556478642236,83.19538421677272
2010-07-26,77.04024803355902,164.5210220360023,126.64307723683174,130.02905820825688,162.64084659387794,179.6778635484537,126.25888779894524,103.37055136515357,82.9268551964094
2010-07-27,77.09390770922847,164.09655444739943,126.64892935789297,130.4250818554891,162.72281801458584,178.77139501123497,126.0063612712208,103.3400833469886,82.9865283120457
